team_id,period,decision_domain,information_quality,psychological_safety,incentive_alignment,interpretive_diversity,coordination_load,time_pressure,bias_pressure,leadership_fragmentation,metric_distortion,cross_functional_scope,decision_quality_score,implementation_error_rate,major_error_event,learning_capacity
Team_01,1,strategy,78,74,72,70,48,51,38,22,25,1,78.4,0.10,0,76
Team_01,2,strategy,80,76,73,71,50,52,37,20,24,1,79.6,0.09,0,78
Team_01,3,strategy,82,78,75,73,49,50,35,19,23,1,81.8,0.08,0,80
Team_02,1,operations,68,63,65,60,62,66,52,38,42,1,62.1,0.25,0,61
Team_02,2,operations,70,65,66,62,61,64,50,36,40,1,64.8,0.22,0,64
Team_02,3,operations,72,67,68,63,59,62,47,34,38,1,67.5,0.19,0,66
Team_03,1,people,61,52,55,58,66,71,62,48,51,0,51.2,0.42,1,48
Team_03,2,people,63,55,57,59,65,69,59,45,49,0,54.8,0.36,0,52
Team_03,3,people,66,58,60,61,63,67,56,43,46,0,58.7,0.31,0,56
Team_04,1,safety,84,82,78,76,54,46,31,18,21,1,85.3,0.05,0,84
Team_04,2,safety,85,83,80,78,52,44,29,17,20,1,87.1,0.04,0,86
Team_04,3,safety,87,85,82,80,51,43,27,16,19,1,88.9,0.03,0,88
Team_05,1,technology,73,69,67,72,68,58,45,31,36,1,69.5,0.18,0,70
Team_05,2,technology,75,71,69,74,66,56,43,30,34,1,72.1,0.15,0,73
Team_05,3,technology,77,73,71,76,64,54,41,28,32,1,74.4,0.13,0,75
Team_06,1,governance,59,49,51,55,72,75,66,54,58,0,45.9,0.52,1,42
Team_06,2,governance,61,52,54,57,70,73,63,51,55,0,49.6,0.46,1,46
Team_06,3,governance,64,55,57,59,68,70,60,48,52,0,54.1,0.39,0,50
